,gdp_level,gdp_growth,cpi_level,cpi_growth,wb_gdp_growth_pct,wb_cpi_inflation_pct,wb_unemployment_pct,wb_trade_bal_gdp_pct,wb_gross_savings_pct,recession,covid_shock,quarter,gdp_growth_lag1,gdp_growth_lag2,gdp_growth_lag3,gdp_growth_lag4,cpi_growth_lag1,cpi_growth_lag2,wb_gdp_growth_pct_lag1,wb_gdp_growth_pct_lag2,wb_cpi_inflation_pct_lag1,wb_cpi_inflation_pct_lag2,wb_unemployment_pct_lag1,wb_unemployment_pct_lag2,wb_trade_bal_gdp_pct_lag1,wb_trade_bal_gdp_pct_lag2,wb_gross_savings_pct_lag1,wb_gross_savings_pct_lag2,gdp_growth_roll2_mean,gdp_growth_roll2_std,gdp_growth_roll4_mean,gdp_growth_roll4_std,gdp_growth_yoy
2019-04-01,3548958.48,-4.631922312934478,120.11476666666664,2.037634885492512,3.87143694070356,3.72950573539129,6.51,-2.57687373613013,29.7022005792949,0,0,2,6.314017668187155,2.4986542752467145,0.6290481374977119,-3.8784378402571207,1.969383513928591,0.2212209866579328,3.87143694070356,6.45385134497769,3.72950573539129,3.9388264669163,6.51,7.652,-2.57687373613013,-3.76131213467656,29.7022005792949,31.4104922311412,4.406335971716935,2.6978693278390997,1.3908205601686152,4.235191716206203,4.809797767997104
2019-07-01,3546222.83,-0.0771129028573014,122.53743333333334,1.9968886914087487,3.87143694070356,3.72950573539129,6.51,-2.57687373613013,29.7022005792949,0,0,3,-4.631922312934478,6.314017668187155,2.4986542752467145,0.6290481374977119,2.037634885492512,1.969383513928591,3.87143694070356,3.87143694070356,3.72950573539129,3.72950573539129,6.51,6.51,-2.57687373613013,-2.57687373613013,29.7022005792949,29.7022005792949,0.8410476776263387,7.739948387112056,1.202449441999276,4.552543594207542,4.10363672764209
2019-10-01,3599695.64,1.496625194634582,125.3427,2.2635024435332163,3.87143694070356,3.72950573539129,6.51,-2.57687373613013,29.7022005792949,0,0,4,-0.0771129028573014,-4.631922312934478,6.314017668187155,2.4986542752467145,1.9968886914087487,2.037634885492512,3.87143694070356,3.87143694070356,3.72950573539129,3.72950573539129,6.51,6.51,-2.57687373613013,-2.57687373613013,29.7022005792949,29.7022005792949,-2.3545176078958896,3.2207366208778665,1.0259091819105226,4.595678564917347,3.101607647029958
2020-01-01,3821080.71,5.968399354088128,125.4702,0.1016694204984958,-5.77772470686801,6.62343677628535,7.859,-0.393151469925627,28.6796821131572,0,0,1,1.496625194634582,-0.0771129028573014,-4.631922312934478,6.314017668187155,2.2635024435332163,1.9968886914087487,3.87143694070356,3.87143694070356,3.72950573539129,3.72950573539129,6.51,6.51,-2.57687373613013,-2.57687373613013,29.7022005792949,29.7022005792949,0.7097561458886403,1.1128008805481227,0.7754019117574895,4.5152469220487905,2.7559893329309313
2020-04-01,2703597.88,-34.59498568803294,126.36276666666669,0.7088590631804337,-5.77772470686801,6.62343677628535,7.859,-0.393151469925627,28.6796821131572,1,1,2,5.968399354088128,1.496625194634582,-0.0771129028573014,-4.631922312934478,0.1016694204984958,2.2635024435332163,-5.77772470686801,3.87143694070356,6.62343677628535,3.72950573539129,7.859,6.51,-0.393151469925627,-2.57687373613013,28.6796821131572,29.7022005792949,3.7325122743613552,3.1620218320843763,0.6889973332327328,4.375060351398392,-27.207074042167534
2020-07-01,3310929.82,20.264562822309173,129.3146,2.309132429455918,-5.77772470686801,6.62343677628535,7.859,-0.393151469925627,28.6796821131572,0,0,3,-34.59498568803294,5.968399354088128,1.496625194634582,-0.0771129028573014,0.7088590631804337,0.1016694204984958,-5.77772470686801,-5.77772470686801,6.62343677628535,6.62343677628535,7.859,7.859,-0.393151469925627,-0.393151469925627,28.6796821131572,28.6796821131572,-14.313293166972407,28.682644631164777,-6.8017685105418835,18.70494087573378,-6.865398317001059
2020-10-01,3626220.2,9.09617762366164,131.55013333333332,1.713982593886687,-5.77772470686801,6.62343677628535,7.859,-0.393151469925627,28.6796821131572,0,0,4,20.264562822309173,-34.59498568803294,5.968399354088128,1.496625194634582,2.309132429455918,0.7088590631804337,-5.77772470686801,-5.77772470686801,6.62343677628535,6.62343677628535,7.859,7.859,-0.393151469925627,-0.393151469925627,28.6796821131572,28.6796821131572,-7.165211432861884,38.79155876449527,-1.7163495792502648,23.334836585706242,0.7341541120259993
2021-01-01,3917725.21,7.732034322585868,131.03596666666667,-0.3916180816819548,9.68959249192875,5.13140747176369,6.38,-2.62477212294165,29.8661330649563,0,0,1,9.09617762366164,20.264562822309173,-34.59498568803294,5.968399354088128,1.713982593886687,2.309132429455918,-5.77772470686801,-5.77772470686801,6.62343677628535,6.62343677628535,7.859,7.859,-0.393151469925627,-0.393151469925627,28.6796821131572,28.6796821131572,14.680370222985406,7.897240908867136,0.18353852800649983,23.983974050606864,2.497789080523739
2021-04-01,3246433.88,-18.795405557924383,133.09263333333334,1.5573536787088391,9.68959249192875,5.13140747176369,6.38,-2.62477212294165,29.8661330649563,0,0,2,7.732034322585868,9.09617762366164,20.264562822309173,-34.59498568803294,-0.3916180816819548,1.713982593886687,9.68959249192875,-5.77772470686801,5.13140747176369,6.62343677628535,6.38,7.859,-2.62477212294165,-0.393151469925627,29.8661330649563,28.6796821131572,8.414105973123753,0.9645949787008613,0.6244472701309347,24.141462298216815,18.297369210632297
2021-07-01,3589178.26,10.036615315294029,135.5532,1.8318806178547755,9.68959249192875,5.13140747176369,6.38,-2.62477212294165,29.8661330649563,0,0,3,-18.795405557924383,7.732034322585868,9.09617762366164,20.264562822309173,1.5573536787088391,-0.3916180816819548,9.68959249192875,9.68959249192875,5.13140747176369,5.13140747176369,6.38,6.38,-2.62477212294165,-2.62477212294165,29.8661330649563,29.8661330649563,-5.531685617669258,18.757732627027252,4.574342302658074,16.560456400569294,8.069421703617152
